1,White,217,217,214
2,Grey,158,162,162
3,Light Yellow,251,216,114
4,Brick Red,229,106,84
5,Brick Yellow,211,188,141
6,Light Green,162,228,184
7,Orange,246,141,46
9,Light Reddish Violet,236,179,203
11,Pastel Blue,171,202,233
12,Light Orange Brown,213,120,0
13,Red Orange,255,130,0
15,Lemon,236,232,26
18,Nougat,229,158,109
19,Light Brown,219,138,6
21,Bright Red,239,51,64
22,Medium Reddish Violet,226,119,205
23,Bright Blue,0,61,165
24,Bright Yellow,255,205,0
25,Earth Orange,105,63,35
26,Black,39,37,31
27,Dark Grey,81,83,74
28,Dark Green,0,132,61
29,Medium Green,128,224,167
36,Light Yellowish Orange,254,203,139
37,Bright Green,0,150,57
38,Dark Orange,184,97,37
39,Light Bluish Violet,203,211,235
45,Light Blue,198,218,231
100,Light Red,255,179,171
101,Medium Red,255,134,116
102,Medium Blue,108,172,228
103,Light Grey,178,180,178
104,Bright Violet,155,38,182
105,Bright Yellowish Orange,255,163,0
106,Bright Orange,255,130,0
107,Bright Bluish Green,0,134,117
108,Earth Yellow,110,76,30
110,Bright Bluish Violet,30,34,170
112,Medium Bluish Violet,72,92,199
115,Medium Yellowish Green,206,220,0
116,Medium Bluish Green,0,178,169
118,Light Bluish Green,156,219,217
119,Bright Yellowish Green,181,189,0
120,Light Yellowish Green,194,225,137
121,Medium Yellowish Orange,255,181,73
123,Bright Reddish Orange,255,103,31
124,Bright Reddish Violet,175,22,133
125,Light Orange,255,185,144
128,Dark Nougat,184,97,37
133,Neon Orange,255,103,31
134,Neon Green,197,232,108
135,Sand Blue,91,127,149
136,Sand Violet,161,146,178
137,Medium Orange,255,127,50
138,Sand Yellow,155,148,95
140,Earth Blue,0,56,101
141,Earth Green,44,82,52
144,Dark Army Green,93,121,117
151,Sand Green,120,159,144
153,Sand Red,156,97,105
154,(New) Dark Red,155,39,67
180,Curry,204,138,0
190,Fire Yellow,255,215,0
191,Flame Yellowish Orange,255,163,0
192,Reddish Brown,122,62,58
193,Flame Reddish Orange,207,69,32
194,Medium Stone Grey,162,170,173
195,Royal Blue,0,71,187
196,Dark Royal Blue,0,51,160
198,Bright Reddish Lilac,152,29,151
199,Dark Stone Grey,91,103,112
208,Light Stone Grey,193,198,200
209,Dark Curry,172,132,0
210,Faded Green,74,119,41
211,Turquoise,44,213,196
212,Light Royal Blue,105,179,231
213,Medium Royal Blue,48,127,226
216,Rust,150,56,33
217,Brown,96,61,32
218,Reddish Lilac,184,132,203
219,Lilac,104,91,199
220,Light Lilac,159,174,229
221,Bright Purple,233,60,172
222,Light Purple,241,167,220
223,Light Pink,252,155,179
224,Light Brick Yellow,217,200,158
225,Warm Yellowish Orange,253,190,135
226,Cool Yellow,251,219,101
232,Dove Blue,5,195,222
268,Medium Lilac,51,0,114
269,Tiny-Medium Blue,66,152,181
283,Light Nougat,252,200,155
308,Dark Brown,49,38,29
322,Medium Azur,113,197,232
323,Aqua,185,220,210
324,Medium Lavender,160,94,181
325,Lavender,202,162,221
326,Spring Yellowish Green,212,235,142
330,Olive Green,115,123,76
56,Light Pink,238,218,234
